Company Name,Niche,Website,Target Title,Decision Maker Name,Verified Email,LinkedIn Search Link,Clawjin Pitch Angle,Status,Custom Notes
Vuori,Apparel & Activewear,https://www.vuoriclothing.com,Founder / CEO / Head of Growth,,,https://www.google.com/search?q=site:linkedin.com/in/+%22Vuori%22+(%22Founder%22+OR+%22CEO%22+OR+%22Head+of+Growth%22+OR+%22VP+Marketing%22),Automated cohort retention & daily Slack unit economics vs. manual spreadsheets,Not Contacted,
Cuts Clothing,Apparel & Activewear,https://www.cutsclothing.com,Founder / CEO / Head of Growth,,,https://www.google.com/search?q=site:linkedin.com/in/+%22Cuts+Clothing%22+(%22Founder%22+OR+%22CEO%22+OR+%22Head+of+Growth%22+OR+%22VP+Marketing%22),Automated cohort retention & daily Slack unit economics vs. manual spreadsheets,Not Contacted,
True Classic,Apparel & Activewear,https://www.trueclassictees.com,Founder / CEO / Head of Growth,,,https://www.google.com/search?q=site:linkedin.com/in/+%22True+Classic%22+(%22Founder%22+OR+%22CEO%22+OR+%22Head+of+Growth%22+OR+%22VP+Marketing%22),Automated cohort retention & daily Slack unit economics vs. manual spreadsheets,Not Contacted,
Ten Thousand,Apparel & Activewear,https://www.tenthousand.cc,Founder / CEO / Head of Growth,,,https://www.google.com/search?q=site:linkedin.com/in/+%22Ten+Thousand%22+(%22Founder%22+OR+%22CEO%22+OR+%22Head+of+Growth%22+OR+%22VP+Marketing%22),Automated cohort retention & daily Slack unit economics vs. manual spreadsheets,Not Contacted,
Rhone,Apparel & Activewear,https://www.rhone.com,Founder / CEO / Head of Growth,,,https://www.google.com/search?q=site:linkedin.com/in/+%22Rhone%22+(%22Founder%22+OR+%22CEO%22+OR+%22Head+of+Growth%22+OR+%22VP+Marketing%22),Automated cohort retention & daily Slack unit economics vs. manual spreadsheets,Not Contacted,
Western Rise,Apparel & Activewear,https://www.westernrise.com,Founder / CEO / Head of Growth,,,https://www.google.com/search?q=site:linkedin.com/in/+%22Western+Rise%22+(%22Founder%22+OR+%22CEO%22+OR+%22Head+of+Growth%22+OR+%22VP+Marketing%22),Automated cohort retention & daily Slack unit economics vs. manual spreadsheets,Not Contacted,
Chubbies,Apparel & Activewear,https://www.chubbiesshorts.com,Founder / CEO / Head of Growth,,,https://www.google.com/search?q=site:linkedin.com/in/+%22Chubbies%22+(%22Founder%22+OR+%22CEO%22+OR+%22Head+of+Growth%22+OR+%22VP+Marketing%22),Automated cohort retention & daily Slack unit economics vs. manual spreadsheets,Not Contacted,
Bylt Basics,Apparel & Activewear,https://www.byltbasics.com,Founder / CEO / Head of Growth,,,https://www.google.com/search?q=site:linkedin.com/in/+%22Bylt+Basics%22+(%22Founder%22+OR+%22CEO%22+OR+%22Head+of+Growth%22+OR+%22VP+Marketing%22),Automated cohort retention & daily Slack unit economics vs. manual spreadsheets,Not Contacted,
Gymshark,Apparel & Activewear,https://www.gymshark.com,Founder / CEO / Head of Growth,,,https://www.google.com/search?q=site:linkedin.com/in/+%22Gymshark%22+(%22Founder%22+OR+%22CEO%22+OR+%22Head+of+Growth%22+OR+%22VP+Marketing%22),Automated cohort retention & daily Slack unit economics vs. manual spreadsheets,Not Contacted,
Alo Yoga,Apparel & Activewear,https://www.aloyoga.com,Founder / CEO / Head of Growth,,,https://www.google.com/search?q=site:linkedin.com/in/+%22Alo+Yoga%22+(%22Founder%22+OR+%22CEO%22+OR+%22Head+of+Growth%22+OR+%22VP+Marketing%22),Automated cohort retention & daily Slack unit economics vs. manual spreadsheets,Not Contacted,
